color;streak;lustre;transparency;cleavage;mohs_hardness;density;fracture;group
"1;3;9;11;12;13";1;"2;6";"1;2";5;6.5-7;2.94;6;1
"1;3;5;9;13";1;"2;4";1;2;3.5-4;2.17;"2;6";1
"1;5;7;8;13";1;"2;4";1;2;3-3.5;2.17;"2;6";1
"1;5;7;8;13";1;"2;4";1;2;3-3.5;2.17;"2;6";1
"1;5;7;8;13";1;"2;4";1;2;3-3.5;2.4;"2;6";1
"1;3;4;5;6;7;11";1;"2;4";"1;2";2;3.5-4;2.2;2;1
"1;3;4;5;6;7;11;13";1;"2;4";"1;2";2;3.5-4;2.2;2;1
"1;7;11;13";1;"2;4;5";"1;2";2;3-4;2.125;6;1
"1;13";1;"2;4;5";"1;2";2;3-4;2.125;6;1
"1;9;13";1;"2;4";"1;2";2;5-5.5;2.25;2;1
"1;13";1;"2;5";"1;2";2;5-5.5;2.275;2;1
"1;7;8";1;"2;4";"1;2";2;5-5.5;2.23-2.39;"2;6";1
"1;5;7";1;2;"1;2";3;4-5;2.05-2.2;2;1
"1;3;7;13";1;"2;6;8";"1;2";4;7-7.5;2.93-3.02;"2;6";1
"1;13";1;"2;4";"1;2";2;5-6;2.37;2;1
"1;5;13";1;"2;4;6";"1;2";2;5-6;2.49;2;1
"1;3;7;9;13";1;"2;4;6";"1;2;3";3;5-6;2.5-2.6;"2;6";1
"5;7";1;2;2;3;6-6.5;3.2;"2;6";1
"5;11;12";1;"2;4";"1;2";2;6-7;2.51;2;1
"2;3;7";"1;2;3";1;1;2;3.5;5.63-5.78;7;8
"1;3;10";3;1;3;3;3-3.5;6.61-6.71;2;8
"1;3;12";3;1;1;5;2.5-3.5;6.1-7.7;2;8
"1;3";1;1;3;3;2;6.1;"2;6";8
"1;9";3;1;1;4;2;7.133;6;8
"1;3";"1;3";1;1;1;2.75;2.6-2.8;"2;6";8
"1;9";"3;8";1;3;3;8.5;7.19;6;8
"1;3";"1;3";1;3;1;1;7.362;2;8
"1;3";1;1;3;5;2;8.65;1;8
"3;9";10;1;3;5;7;22.61;4;8
"1;3";2;1;3;5;6.5;22.65;2;8
"1;3";"2;3";1;3;3;6.5;12.41;1;8
"1;3";1;"1;8";3;5;1.5;7.3;6;8
"1;3";1;1;3;5;5;12.02;4;8
8;8;"2;3";1;2;3-3.5;3.725;"1;2";7
"5;6;12";1;2;1;2;2-2.5;2.79;"2;6";7
"3;5;7;9;10;11;13";1;2;1;2;2-2.5;2.2-2.3;6;7
"2;5;8;10;11;12;13";"1;13";"2;6";1;2;4;3.1-3.2;"2;6";7
"1;13";1;2;2;6;1-2;1.591-1.604;"2;6";7
"1;11;13";1;2;1;2;4;2.713-2.739;6;7
"1;3;4;7";1;2;1;2;1-2;1.532;6;7
"1;13";1;2;1;2;5-5.5;3.08-3.15;2;7
"1;5;12;13";"1;13";"2;6";1;2;2;1.9-2;"1;3;4";7
7;"2;4;8";1;3;4;6-6.5;4.9--5.2;"2;6";5
1;3;1;3;3;6-7;10.78;3;5
"1;5;7;10";"2;3;8";1;3;4;6-6.5;4.85-4.89;"2;3;4";5
"1;3";3;1;3;4;3-4;8.057;"2;4";5
"2;3";3;1;3;4;2-2.5;7.2-7.4;2;5
"1;3;7";"2;3";1;3;3;5.5-6.0;5.9-6.2;2;5
